,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
920,14331,12237,15481,40525,21839,16032,104483,5134,0,3996,978,4595,482,5402,9863,888,1703,1523,6792,452,7907,4908,7005,1653,6793,28352,2720,32725,2922,9128,1599,25883,76824,25706,89302,1127,13384,2891,829,32729,22181,20281,187721,35161,19597,3347,31485,17335,48239,090f717dec14c0198e6c235accee7cd0.opcodeSeq.txt,0
921,1431,1266,456,1491,1256,491,3006,123,0,212,68,191,23,192,220,67,205,103,224,30,251,403,285,96,265,1200,149,1390,612,316,71,1466,1311,373,3422,79,607,263,69,544,598,525,6505,2264,544,149,1060,697,1357,19ba83c546250a5acf4e2d59623c3c40.opcodeSeq.txt,0
922,3046,2511,1236,4042,3059,1255,7459,380,0,639,135,556,71,529,599,115,459,232,621,58,656,1184,803,209,778,3299,322,3525,1470,683,262,3894,3193,798,8562,209,1312,499,175,1387,1339,1283,15683,5033,1578,363,2462,1537,3020,0c3d8620d1d813e7d3d015682736659f.opcodeSeq.txt,0
923,630,357,492,1796,609,409,5338,214,0,90,30,198,14,273,475,5,45,46,154,4,299,147,220,34,138,849,71,1610,73,433,38,760,735,300,2953,33,534,63,28,476,1486,823,8118,1693,990,180,1140,606,3021,fe7a44137739c8543d066ec0c2aa15b9.opcodeSeq.txt,0
924,58,30,188,224,140,208,1670,70,0,0,2,6,0,26,184,0,0,0,0,0,10,22,4,0,22,20,10,190,6,4,0,16,32,74,318,2,32,2,0,30,40,400,2174,350,106,0,74,44,888,09eb9b6b2daa7df06261bdc7a2094271.opcodeSeq.txt,0
925,8971,6489,9795,20626,10948,8314,56622,2302,0,1637,465,2224,193,2852,6777,383,910,940,3667,300,4545,2247,3293,740,2514,11963,1326,18763,1305,4683,773,11904,12773,4958,43619,589,6154,1916,469,8859,8888,9994,99905,17957,10462,1962,15577,8125,30187,1331ae4b33daabf7ac0462cf03babf6a.opcodeSeq.txt,0
926,9664,6886,10592,22036,11908,8900,62259,2644,0,1661,486,2317,203,3087,7476,386,953,968,3623,322,4798,2370,3468,778,2610,12764,1363,19661,1401,5107,817,12270,13709,5250,46523,597,6579,2018,494,9298,9677,10804,108452,18992,11059,2124,16482,8530,31874,11f666e80b3cb75d5a9c4c334c08cb0c.opcodeSeq.txt,0
927,235,421,396,1257,403,428,2506,141,0,111,29,98,17,143,177,30,33,47,91,14,168,135,203,53,124,547,55,1033,49,219,55,412,540,130,1586,24,350,66,53,254,320,328,4904,632,305,92,503,352,1597,14013bbb99636e4d17099401aae616ba.opcodeSeq.txt,0
928,1620,350,537,3124,1632,1038,9093,171,0,70,49,290,13,382,424,19,95,108,732,29,541,325,261,129,227,2348,143,1733,682,652,55,1331,3180,326,8370,101,615,170,42,752,924,1469,14061,1970,1827,164,4176,817,4003,10261625aa8ca539ecd2a870c8bbc086.opcodeSeq.txt,0
929,22,2,3,3,2,2,35,3,0,0,1,0,1,0,3,0,0,0,0,0,0,1,2,0,2,0,0,6,1,1,0,4,1,5,4,0,6,0,0,6,1,3,35,18,2,0,4,5,24,03ef0dac1f97f15388bb873a417f6537.opcodeSeq.txt,0
